"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"65","CA147","H5N1","B3.13","d2","NIOSH","30min","6763",0.11539341870207,4.36296315887739,4.24756974017532,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"66","CA147","H5N1","B3.13","d2","NIOSH","30min","6764",0,3.56198274883346,0,1.06963592814139,4.57493368789977,3.50529775975838,0,"non-transmissible","Non-transmissible"
"67","CA147","H5N1","B3.13","d2","NIOSH","30min","6762",0.11539341870207,4.06437774592373,3.94898432722166,0.911273436046145,4.27724874833091,3.36597531228476,0,"non-transmissible","Non-transmissible"
"68","CA147","H5N1","B3.13","d2","NIOSH","30min","6763",2.52193359913602,5.84237869571898,3.32044509658296,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"69","CA147","H5N1","B3.13","d2","NIOSH","30min","6764",0,3.40092524381347,0,1.06963592814139,4.57493368789977,3.50529775975838,0,"non-transmissible","Non-transmissible"
"70","CA147","H5N1","B3.13","d2","NW","","6762",6.43136376415899,9.06902969564468,2.63766593148569,6.55022835305509,9.28357226402456,2.73334391096947,0,"non-transmissible","Non-transmissible"
"71","CA147","H5N1","B3.13","d2","NW","","6763",8,9.42201672605168,1.42201672605168,8.01494034979294,9.75976634794925,1.74482599815631,0,"non-transmissible","Non-transmissible"
"72","CA147","H5N1","B3.13","d2","NW","","6764",7.11394335230684,9.65313095875548,2.53918760644864,7.22659990520736,9.76907756750982,2.54247766230246,0,"non-transmissible","Non-transmissible"
"73","CA147","H5N1","B3.13","d3","SPOT","30min","6762",0.529827543193592,4.80586443106314,4.27603688786955,0.705918864291347,4.21010553929915,3.5041866750078,0,"non-transmissible","Non-transmissible"
"74","CA147","H5N1","B3.13","d3","SPOT","30min","6763",0,2.86302969824067,0,-0.13917917572291,2.49505297498815,2.63423215071106,0,"non-transmissible","Non-transmissible"
"75","CA147","H5N1","B3.13","d3","SPOT","30min","6764",0,4.04770801911205,0,1.39229974131934,5.92890709130942,4.53660734999008,0,"non-transmissible","Non-transmissible"
